"","pm.id","pm.uid","pm.type","ncaa_id","team","season","division","jersey","name","position","height","class","major","hometown","homestate","high_school","previous_school","url","hometown_cleaned","pm.address","pm.state","country","temp","Continent","Region"
"12",96,90,"unknown",52,"Bellarmine",2024,"I","36","Hannes Nilsson","Goalkeeper","6'1""","R-So.",NA,"Nykoping"," Sweden","Nykoping Upper Secondary","Kentucky Wesleyan College","https://www.bellarmine.edu/sports/mens-soccer/roster/hannes-nilsson/8865","NYKOPING, SWEDEN","NYKOPING SWEDEN",NA,"SWEDEN","SWEDEN","Europe","Northern Europe"
"13",108,102,"unknown",14927,"Belmont",2024,"I","6","Rubyn Singh Gill","Midfielder","5'11""","Sr.",NA,"Leicester"," England","Lutterworth College","Central Arkansas","https://www.belmontbruins.com/sports/mens-soccer/roster/rubyn-singh-gill/4129","LEICESTER, ENGLAND","LEICESTER ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"14",131,120,"unknown",62,"Binghamton",2024,"I","4","Luke Yates","Back","6'1""","Jr.",NA,"Rotherham"," England","Wickersley",NA,"https://www.bubearcats.com/sports/mens-soccer/roster/luke-yates/16539","ROTHERHAM, ENGLAND","ROTHERHAM ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"15",133,122,"unknown",62,"Binghamton",2024,"I","6","Carlo Cavalar","Back","6'5""","Sr.",NA,"Bonn"," Germany","Friedrich-Ebert-Gymnasium (Lipscomb)",NA,"https://www.bubearcats.com/sports/mens-soccer/roster/carlo-cavalar/16523","BONN, GERMANY","BONN GERMANY",NA,"GERMANY","GERMANY","Europe","Eastern Europe"
"16",134,123,"unknown",62,"Binghamton",2024,"I","7","Jamie  Howell","Forward","5'5""","So.",NA,"Godalming"," England","King Edwards School (Florida Atlantic)",NA,"https://www.bubearcats.com/sports/mens-soccer/roster/jamie-howell/16554","GODALMING, ENGLAND","GODALMING ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"17",136,125,"unknown",62,"Binghamton",2024,"I","9","Mael Lopes","Forward","6'4""","Sr.",NA,"Paris"," France","Paul Emile Victor",NA,"https://www.bubearcats.com/sports/mens-soccer/roster/mael-lopes/16529","PARIS, FRANCE","PARIS FRANCE",NA,"FRANCE","FRANCE","Europe","Western Europe"
"18",161,149,"unknown",68,"Boston",2024,"I","6","Diego Rived",NA,"5'11""","Jr.",NA,"Zaragoza"," Spain","Doral Academy Prep (Fla.)",NA,"https://www.goterriers.com/sports/mens-soccer/roster/diego-rived/25694","ZARAGOZA, SPAIN","ZARAGOZA SPAIN",NA,"SPAIN","SPAIN","Europe","Southern Europe"
"19",164,120,"unknown",68,"Boston",2024,"I","9","Alex Bonnington",NA,"6'1""","Jr.",NA,"Rotherham"," England","Wickersley School & Sports College","Duke","https://www.goterriers.com/sports/mens-soccer/roster/alex-bonnington/25681","ROTHERHAM, ENGLAND","ROTHERHAM ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"20",189,171,"unknown",67,"Boston College",2024,"I","7","Sander Martinsen-Wold",NA,"6'0""","Fr.",NA,"Vestby"," Norway",NA,"Moss FK","https://www.bceagles.com/sports/mens-soccer/roster/sander-martinsen-wold/24789","VESTBY, NORWAY","VESTBY NORWAY",NA,"NORWAY","NORWAY","Europe","Northern Europe"
"21",191,173,"unknown",67,"Boston College",2024,"I","9","Ask Ekeland",NA,"6'3""","Jr.",NA,"Stavanger"," Norway",NA,"Duquesne","https://www.bceagles.com/sports/mens-soccer/roster/ask-ekeland/24592","STAVANGER, NORWAY","STAVANGER NORWAY",NA,"NORWAY","NORWAY","Europe","Northern Europe"
"22",197,179,"unknown",67,"Boston College",2024,"I","15","Arno Schumacher",NA,"6'0""","Fr.",NA,"Frankfurt"," Germany",NA,"SV Wehen Wiesbaden","https://www.bceagles.com/sports/mens-soccer/roster/arno-schumacher/24791","FRANKFURT, GERMANY","FRANKFURT GERMANY",NA,"GERMANY","GERMANY","Europe","Eastern Europe"
"23",207,188,"unknown",67,"Boston College",2024,"I","26","Marc Boye",NA,"6'4""","Gr.",NA,"Copenhagen"," Denmark",NA,"Campbellsville","https://www.bceagles.com/sports/mens-soccer/roster/marc-boye/24756","COPENHAGEN, DENMARK","COPENHAGEN DENMARK",NA,"DENMARK","DENMARK","Europe","Northern Europe"
"24",208,189,"unknown",67,"Boston College",2024,"I","27","Moritz Gundelach",NA,"6'2""","So.",NA,"Stockstadt"," Germany",NA,"FC Nuremberg","https://www.bceagles.com/sports/mens-soccer/roster/moritz-gundelach/24575","STOCKSTADT, GERMANY","STOCKSTADT GERMANY",NA,"GERMANY","GERMANY","Europe","Eastern Europe"
"25",220,198,"unknown",81,"Bryant",2024,"I","3","Filippo Censini",NA,"5'11""","Sr.",NA,"Genova"," Italy","University of South Carolina Upstate",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/filippo-censini/12877","GENOVA, ITALY","GENOVA ITALY",NA,"ITALY","ITALY","Europe","Southern Europe"
"26",222,200,"unknown",81,"Bryant",2024,"I","5","Kerman Sukia",NA,"6'2""","Sr.",NA,"San Sebastian"," Spain","San Benito Ikastola",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/kerman-sukia/12895","SAN SEBASTIAN, SPAIN","SAN SEBASTIAN SPAIN",NA,"SPAIN","SPAIN","Europe","Southern Europe"
"27",223,201,"unknown",81,"Bryant",2024,"I","6","Santiago Blasco Gomez",NA,"5'10""","Sr.",NA,"Alborache"," Spain","Universidad de Valencia",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/santiago-blasco-gomez/12875","ALBORACHE, SPAIN","ALBORACHE SPAIN",NA,"SPAIN","SPAIN","Europe","Southern Europe"
"28",224,202,"unknown",81,"Bryant",2024,"I","7","Cristian Guirado",NA,"6'0""","So.",NA,"Valencia"," España","Universidad Católica de Valencia",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/cristian-guirado/14512","VALENCIA, ESPAÑA","VALENCIA ESPAÑA",NA,"SPAIN","ESPAÑA","Europe","Southern Europe"
"29",226,203,"unknown",81,"Bryant",2024,"I","10","Oscar Sears",NA,"5'8""","Gr.",NA,"Stockholm"," Sweden",NA,NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/oscar-sears/14514","STOCKHOLM, SWEDEN","STOCKHOLM SWEDEN",NA,"SWEDEN","SWEDEN","Europe","Northern Europe"
"30",229,206,"unknown",81,"Bryant",2024,"I","13","Tibo Jacobs",NA,"5'10""","Gr.",NA,"Kampenhout"," Belgium","Free University Brussels",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/tibo-jacobs/14506","KAMPENHOUT, BELGIUM","KAMPENHOUT BELGIUM",NA,"BELGIUM","BELGIUM","Europe","Western Europe"
"31",231,208,"unknown",81,"Bryant",2024,"I","15","Daniel Pereira",NA,"6'0""","Sr.",NA,"Praia da Vitoria"," Portugal",NA,NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/daniel-pereira/12889","PRAIA DA VITORIA, PORTUGAL","PRAIA DA VITORIA PORTUGAL",NA,"PORTUGAL","PORTUGAL","Europe","Southern Europe"
"32",232,209,"unknown",81,"Bryant",2024,"I","16","Jorge Veintimilla",NA,"5'6""","Jr.",NA,"Valencia"," Spain","Universidad Catolica de Valencia",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/jorge-veintimilla/14913","VALENCIA, SPAIN","VALENCIA SPAIN",NA,"SPAIN","SPAIN","Europe","Southern Europe"
"33",233,210,"unknown",81,"Bryant",2024,"I","17","Jonas Lyshoj",NA,"5'11""","Sr.",NA,"Hillerod"," Denmark","Monmouth",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/jonas-lyshoj/12883","HILLEROD, DENMARK","HILLEROD DENMARK",NA,"DENMARK","DENMARK","Europe","Northern Europe"
"34",236,213,"unknown",81,"Bryant",2024,"I","20","Tomas Sentieiro",NA,"5'8""","Gr.",NA,"Torress"," Novas","Faculdade de Motricidade Hiumana",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/tomas-sentieiro/14513","TORRESS, NOVAS","TORRESS NOVAS",NA,"PORTUGAL","NOVAS","Europe","Southern Europe"
"35",237,214,"unknown",81,"Bryant",2024,"I","22","Marc Pitarch Bayot",NA,"6'3""","Sr.",NA,"Ares del Maestrat"," Spain","Jaune I University",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/marc-pitarch-bayot/12890","ARES DEL MAESTRAT, SPAIN","ARES DEL MAESTRAT SPAIN",NA,"SPAIN","SPAIN","Europe","Southern Europe"
"36",238,215,"unknown",81,"Bryant",2024,"I","23","Miguel Rodeia",NA,"6'1""","Fr.",NA,"Cascais"," Portugal",NA,NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/miguel-rodeia/14912","CASCAIS, PORTUGAL","CASCAIS PORTUGAL",NA,"PORTUGAL","PORTUGAL","Europe","Southern Europe"
"37",240,90,"unknown",81,"Bryant",2024,"I","25","Rasmus Holmberg",NA,"6'2""","Fr.",NA,"Nykoping"," Sweden","Nkopings Gymnasium",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/rasmus-holmberg/14508","NYKOPING, SWEDEN","NYKOPING SWEDEN",NA,"SWEDEN","SWEDEN","Europe","Northern Europe"
"38",241,217,"unknown",81,"Bryant",2024,"I","26","Jonah Stekly",NA,"5'11""","Sr.",NA,"Cambridge"," England","Coastal Carolina",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/jonah-stekly/12894","CAMBRIDGE, ENGLAND","CAMBRIDGE ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"39",247,221,"unknown",81,"Bryant",2024,"I","32","Filipe Bastos",NA,"5'7""","Gr.",NA,"Santa Maria de Faria"," Portugal","Faculdade de desporto do Porto",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/filipe-bastos/14507","SANTA MARIA DE FARIA, PORTUGAL","SANTA MARIA DE FARIA PORTUGAL",NA,"PORTUGAL","PORTUGAL","Europe","Southern Europe"
"40",251,224,"unknown",81,"Bryant",2024,"I","36","Jose Alves Faria",NA,"5'9""","Gr.",NA,"Torres Novas"," Portugal","Escola Superior Desporto de Rio Maior",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/jose-alves-faria/14510","TORRES NOVAS, PORTUGAL","TORRES NOVAS PORTUGAL",NA,"PORTUGAL","PORTUGAL","Europe","Southern Europe"
"41",252,225,"unknown",81,"Bryant",2024,"I","37","Matis Laloux",NA,"5'8""","Gr.",NA,"Bruxelles"," Belgium","Université de Namur",NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/matis-laloux/14509","BRUXELLES, BELGIUM","BRUXELLES BELGIUM",NA,"BELGIUM","BELGIUM","Europe","Western Europe"
"42",254,227,"unknown",81,"Bryant",2024,"I","88","Antreas Hadjigavriel",NA,"6'1""","Sr.",NA,"Nicosia"," Cyprus",NA,NA,"https://www.bryantbulldogs.com/sports/mens-soccer/roster/antreas-hadjigavriel/12879","NICOSIA, CYPRUS","NICOSIA CYPRUS",NA,"CYPRUS","CYPRUS","Europe","Southern Europe"
"43",257,230,"unknown",87,"Butler",2024,"I","3","Vygo Verkooijen","D","6'0""","Jr.",NA,"Dongen"," Noord Brabant, Netherlands","Rodenborch College",NA,"https://www.butlersports.com/sports/mens-soccer/roster/vygo-verkooijen/11943","DONGEN, NOORD BRABANT, NETHERLANDS","DONGEN NOORD BRABANT NETHERLANDS",NA,"NETHERLANDS","NETHERLANDS","Europe","Western Europe"
"44",258,231,"unknown",87,"Butler",2024,"I","4","Manolo Ferreres",NA,"6'2""","So.",NA,"Deltebre"," Catalonia, Spain","IES Miralcamp",NA,"https://www.butlersports.com/sports/mens-soccer/roster/manolo-ferreres/12146","DELTEBRE, CATALONIA, SPAIN","DELTEBRE CATALONIA SPAIN",NA,"SPAIN","SPAIN","Europe","Southern Europe"
"45",259,232,"unknown",87,"Butler",2024,"I","5","Alejandro Moroso-Maza","D","5'11""","Sr.",NA,"Santander"," Cantabria, Spain",NA,"Universidad de Cantabria","https://www.butlersports.com/sports/mens-soccer/roster/alejandro-moroso-maza/11937","SANTANDER, CANTABRIA, SPAIN","SANTANDER CANTABRIA SPAIN",NA,"SPAIN","SPAIN","Europe","Southern Europe"
"46",260,233,"unknown",87,"Butler",2024,"I","6","Joost de Schutter","M","5'10""","Sr.",NA,"Geldrop"," Netherlands","Sint-Joriscollege",NA,"https://www.butlersports.com/sports/mens-soccer/roster/joost-de-schutter/11930","GELDROP, NETHERLANDS","GELDROP NETHERLANDS",NA,"NETHERLANDS","NETHERLANDS","Europe","Western Europe"
"47",261,234,"unknown",87,"Butler",2024,"I","7","Nick Okoro","F","5'8""","Sr.",NA,"Birmingham"," England","St. George’s School",NA,"https://www.butlersports.com/sports/mens-soccer/roster/nick-okoro/11939","BIRMINGHAM, ENGLAND","BIRMINGHAM ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"48",269,239,"unknown",87,"Butler",2024,"I","16","Lou-Kent Bosc","D","5'10""","Jr.",NA,"Nogent-sur-Marne"," France","Paris Saint-Germain",NA,"https://www.butlersports.com/sports/mens-soccer/roster/lou-kent-bosc/11929","NOGENT SUR-MARNE, FRANCE","NOGENT SUR-MARNE FRANCE",NA,"FRANCE","FRANCE","Europe","Western Europe"
"49",270,240,"unknown",87,"Butler",2024,"I","17","Henri Kumwenda","F","5'11""","Sr.",NA,"Leeds"," England","Leeds Grammar School",NA,"https://www.butlersports.com/sports/mens-soccer/roster/henri-kumwenda/11935","LEEDS, ENGLAND","LEEDS ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"50",275,245,"unknown",87,"Butler",2024,"I","23","Sam Pitts-Eckersall","M","5'11""","Jr.",NA,"Stratford-upon-Avon"," UK","Chipping Campden","UNC-Ashville","https://www.butlersports.com/sports/mens-soccer/roster/sam-pitts-eckersall/12042","STRATFORD UPON-AVON, UK","STRATFORD UPON-AVON UK",NA,"ENGLAND","UK","Europe","Northern Europe"
"51",315,282,"unknown",90,"Cal Poly",2024,"I","38","Michael Vick",NA,"5'11""","Fr.",NA,"Kinvara"," Ireland",NA,"De Anza Force SC","https://www.gopoly.com/sports/mens-soccer/roster/michael-vick/9529","KINVARA, IRELAND","KINVARA IRELAND",NA,"IRELAND","IRELAND","Europe","Northern Europe"
"52",319,285,"unknown",94,"Cal State Bakersfield",2024,"I","4","Sinan Solmaz","Defender","6'3""","So.",NA,"Bergisch Gladbach"," Germany",NA,"Geschwister Scholl Berufskolleg","https://www.gorunners.com/sports/mens-soccer/roster/sinan-solmaz/7983","BERGISCH GLADBACH, GERMANY","BERGISCH GLADBACH GERMANY",NA,"GERMANY","GERMANY","Europe","Eastern Europe"
"53",321,287,"unknown",94,"Cal State Bakersfield",2024,"I","6","Luka Geishauser","Defender","6'2""","So.",NA,"Dusseldorf"," Germany",NA,"Max-Weber Berufskolleg","https://www.gorunners.com/sports/mens-soccer/roster/luka-geishauser/7970","DUSSELDORF, GERMANY","DUSSELDORF GERMANY",NA,"GERMANY","GERMANY","Europe","Eastern Europe"
"54",325,291,"unknown",94,"Cal State Bakersfield",2024,"I","10","Jesse Wangusi","Midfielder/Forward","6'2""","So.",NA,"Milton Keynes"," England",NA,"St Paul's Catholic School","https://www.gorunners.com/sports/mens-soccer/roster/jesse-wangusi/7985","MILTON KEYNES, ENGLAND","MILTON KEYNES ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"55",326,292,"unknown",94,"Cal State Bakersfield",2024,"I","11","Rashaad Ogun","Forward","5'9""","Sr.",NA,"London"," England",NA,"Jefferson College","https://www.gorunners.com/sports/mens-soccer/roster/rashaad-ogun/7982","LONDON, ENGLAND","LONDON ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"56",330,295,"unknown",94,"Cal State Bakersfield",2024,"I","16","Filip Arras","Defender","6'1""","So.",NA,"Melhus"," Norway",NA,"Melhus HS","https://www.gorunners.com/sports/mens-soccer/roster/filip-arras/7966","MELHUS, NORWAY","MELHUS NORWAY",NA,"NORWAY","NORWAY","Europe","Northern Europe"
"57",337,302,"unknown",94,"Cal State Bakersfield",2024,"I","23","Adrian Jogerst","Midfielder/Forward","5'8""","So.",NA,"Freiburg"," Germany",NA,"Marie Curie Gymnasium","https://www.gorunners.com/sports/mens-soccer/roster/adrian-jogerst/7974","FREIBURG, GERMANY","FREIBURG GERMANY",NA,"GERMANY","GERMANY","Europe","Eastern Europe"
"58",344,308,"unknown",97,"Cal State Fullerton",2024,"I","4","Giovanni Gloria",NA,"6'2""","Jr.",NA,"Malmo"," Sweden","Fria Laroverk",NA,"https://www.fullertontitans.com/sports/mens-soccer/roster/giovanni-gloria/5103","MALMO, SWEDEN","MALMO SWEDEN",NA,"SWEDEN","SWEDEN","Europe","Northern Europe"
"59",346,310,"unknown",97,"Cal State Fullerton",2024,"I","6","Matthew Sacristan",NA,"6'2""","So.",NA,"Madrid"," Spain","Laurel Springs International School","Grand Canyon","https://www.fullertontitans.com/sports/mens-soccer/roster/matthew-sacristan/5130","MADRID, SPAIN","MADRID SPAIN",NA,"SPAIN","SPAIN","Europe","Southern Europe"
"60",347,311,"unknown",97,"Cal State Fullerton",2024,"I","7","Yanis Rucquois",NA,"5'10""","So.",NA,"Brussels"," Belgium","Haute Ecole Bruxelles-Brabant","Robert Morris","https://www.fullertontitans.com/sports/mens-soccer/roster/yanis-rucquois/5117","BRUSSELS, BELGIUM","BRUSSELS BELGIUM",NA,"BELGIUM","BELGIUM","Europe","Western Europe"
"61",348,312,"unknown",97,"Cal State Fullerton",2024,"I","8","Matthias Heiland",NA,"5'10""","Sr.",NA,"Erfurt"," Germany","Wilhelm - Bracke - Gesamtshule","LIU","https://www.fullertontitans.com/sports/mens-soccer/roster/matthias-heiland/5105","ERFURT, GERMANY","ERFURT GERMANY",NA,"GERMANY","GERMANY","Europe","Eastern Europe"
"62",352,316,"unknown",97,"Cal State Fullerton",2024,"I","12","Tomas Barros",NA,"5'11""","Jr.",NA,"Braga"," Portugal","Escola Secundária Alberto Sampaio","Heartland College","https://www.fullertontitans.com/sports/mens-soccer/roster/tomas-barros/5118","BRAGA, PORTUGAL","BRAGA PORTUGAL",NA,"PORTUGAL","PORTUGAL","Europe","Southern Europe"
"63",398,333,"unknown",107,"California",2024,"I","25","Isaiah Thomas","Midfielder","5'8""","So.",NA,NA,NA,NA,NA,"https://www.calbears.com/sports/mens-soccer/roster/isaiah-thomas/24665",NA,NA,NA,"GERMANY",NA,"Europe","Eastern Europe"
"64",402,333,"unknown",107,"California",2024,"I","30","Joe Chalwin","Midfielder/Defender","6'2""","Fr.",NA,NA,NA,NA,NA,"https://www.calbears.com/sports/mens-soccer/roster/joe-chalwin/24699",NA,NA,NA,"ENGLAND",NA,"Europe","Northern Europe"
"65",413,334,"unknown",30135,"California Baptist",2024,"I","1","Hugo Do Rego","Goalkeeper","6'1""","So.",NA,"Sandweiler"," Luxembourg",NA,"RFCU Luxembourg","https://www.cbulancers.com/sports/mens-soccer/roster/hugo-do-rego/10224","SANDWEILER, LUXEMBOURG","SANDWEILER LUXEMBOURG",NA,"LUXEMBOURG","LUXEMBOURG","Europe","Western Europe"
"66",416,335,"unknown",30135,"California Baptist",2024,"I","4","Otto Gustafsson","Defender","6'2""","So.",NA,"Boras"," Sweden",NA,"IF Elfsborg","https://www.cbulancers.com/sports/mens-soccer/roster/otto-gustafsson/10214","BORAS, SWEDEN","BORAS SWEDEN",NA,"SWEDEN","SWEDEN","Europe","Northern Europe"
"67",417,336,"unknown",30135,"California Baptist",2024,"I","5","Erik Krohnstad","Midfielder","6'0""","So.",NA,"Bergen"," Norway",NA,"Lysekloster FC","https://www.cbulancers.com/sports/mens-soccer/roster/erik-krohnstad/10219","BERGEN, NORWAY","BERGEN NORWAY",NA,"NORWAY","NORWAY","Europe","Northern Europe"
"68",418,337,"unknown",30135,"California Baptist",2024,"I","6","Alex Henderson","Defender","6'3""","Gr.",NA,"Ipswich"," England",NA,"Georgia State","https://www.cbulancers.com/sports/mens-soccer/roster/alex-henderson/10228","IPSWICH, ENGLAND","IPSWICH ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"69",420,227,"unknown",30135,"California Baptist",2024,"I","8","Stavros Charalampous","Midfielder","5'8""","So.",NA,"Nicosia"," Cyprus",NA,"APOEL U19","https://www.cbulancers.com/sports/mens-soccer/roster/stavros-charalampous/10212","NICOSIA, CYPRUS","NICOSIA CYPRUS",NA,"CYPRUS","CYPRUS","Europe","Southern Europe"
"70",423,340,"unknown",30135,"California Baptist",2024,"I","11","Luis Borrero","Winger","5'8""","So.",NA,"Hamburg"," Germany",NA,"FC St. Pauli","https://www.cbulancers.com/sports/mens-soccer/roster/luis-borrero/10211","HAMBURG, GERMANY","HAMBURG GERMANY",NA,"GERMANY","GERMANY","Europe","Eastern Europe"
"71",424,341,"unknown",30135,"California Baptist",2024,"I","12","Jan Quispel","Midfielder","5'8""","Gr.",NA,"Emmen"," Netherlands",NA,"Butler Univeristy","https://www.cbulancers.com/sports/mens-soccer/roster/jan-quispel/10230","EMMEN, NETHERLANDS","EMMEN NETHERLANDS",NA,"NETHERLANDS","NETHERLANDS","Europe","Western Europe"
"72",428,344,"unknown",30135,"California Baptist",2024,"I","16","Tizian Marth","Midfielder","5'8""","Fr.",NA,"Neufeld"," Austria",NA,"Admira Wacker","https://www.cbulancers.com/sports/mens-soccer/roster/tizian-marth/10231","NEUFELD, AUSTRIA","NEUFELD AUSTRIA",NA,"AUSTRIA","AUSTRIA","Europe","Eastern Europe"
"73",435,351,"unknown",30135,"California Baptist",2024,"I","24","Easton Hoch","Winger","5'8""","Fr.",NA,"Zurich"," Switzerland",NA,"FC Kilchberg-Ruschlikon 1.","https://www.cbulancers.com/sports/mens-soccer/roster/easton-hoch/10238","ZURICH, SWITZERLAND","ZURICH SWITZERLAND",NA,"SWITZERLAND","SWITZERLAND","Europe","Eastern Europe"
"74",442,357,"unknown",115,"Campbell",2024,"I","1","Samy Slimi","GK","6'2""","So.",NA,"Boulogne-Billancourt"," France","Paris FC Academy",NA,"https://www.gocamels.com/sports/mens-soccer/roster/samy-slimi/10598","BOULOGNE BILLANCOURT, FRANCE","BOULOGNE BILLANCOURT FRANCE",NA,"FRANCE","FRANCE","Europe","Western Europe"
"75",443,358,"unknown",115,"Campbell",2024,"I","2","Lilian Fichelle","D","5'11""","Fr.",NA,"Attiches"," France","Racing Club de Lens",NA,"https://www.gocamels.com/sports/mens-soccer/roster/lilian-fichelle/10602","ATTICHES, FRANCE","ATTICHES FRANCE",NA,"FRANCE","FRANCE","Europe","Western Europe"
"76",444,359,"unknown",115,"Campbell",2024,"I","3","Téva Lossec","D","5'10""","Jr.",NA,"Lesneven"," France","Lycée La Croix Rouge",NA,"https://www.gocamels.com/sports/mens-soccer/roster/t-va-lossec/10589","LESNEVEN, FRANCE","LESNEVEN FRANCE",NA,"FRANCE","FRANCE","Europe","Western Europe"
"77",448,234,"unknown",115,"Campbell",2024,"I","7","Tai-Reece Chisholm","M","5'11""","Sr.",NA,"Birmingham"," England","Friary",NA,"https://www.gocamels.com/sports/mens-soccer/roster/tai-reece-chisholm/10585","BIRMINGHAM, ENGLAND","BIRMINGHAM ENGLAND",NA,"ENGLAND","ENGLAND","Europe","Northern Europe"
"78",450,363,"unknown",115,"Campbell",2024,"I","10","Ugo Bertelli","M","5'6""","Jr.",NA,"Marseille"," France","Lycée polyvalent Nelson Mandela",NA,"https://www.gocamels.com/sports/mens-soccer/roster/ugo-bertelli/10584","MARSEILLE, FRANCE","MARSEILLE FRANCE",NA,"FRANCE","FRANCE","Europe","Western Europe"
